Episode,Agent,TotalReward,Status,Epsilon
1,0,-334.70,TimedOut,0.9950
1,1,-148.60,TimedOut,0.9950
1,2,-89.40,TimedOut,0.9950
1,3,-78.80,TimedOut,0.9950
1,4,-119.10,TimedOut,0.9950
1,5,-177.50,TimedOut,0.9950
1,6,-129.00,TimedOut,0.9950
1,7,-79.70,TimedOut,0.9950
1,8,-188.30,TimedOut,0.9950
1,9,-168.30,TimedOut,0.9950
1,10,-109.50,TimedOut,0.9950
1,11,-178.20,TimedOut,0.9950
1,12,-128.30,TimedOut,0.9950
1,13,-60.10,TimedOut,0.9950
1,14,225.60,ReachedGoal,0.9950
1,15,-109.90,TimedOut,0.9950
1,16,-59.30,TimedOut,0.9950
1,17,-149.10,TimedOut,0.9950
1,18,-100.10,TimedOut,0.9950
1,19,-70.50,TimedOut,0.9950
1,20,-107.80,TimedOut,0.9950
1,21,283.20,ReachedGoal,0.9950
1,22,-130.00,TimedOut,0.9950
1,23,-69.20,TimedOut,0.9950
1,24,-159.40,TimedOut,0.9950
1,25,-100.00,TimedOut,0.9950
1,26,-178.00,TimedOut,0.9950
1,27,-60.50,TimedOut,0.9950
1,28,-189.20,TimedOut,0.9950
1,29,-58.80,TimedOut,0.9950
1,30,-59.80,TimedOut,0.9950
1,31,-119.60,TimedOut,0.9950
1,32,-146.80,TimedOut,0.9950
1,33,-107.60,TimedOut,0.9950
1,34,-177.20,TimedOut,0.9950
1,35,-98.50,TimedOut,0.9950
1,36,-148.70,TimedOut,0.9950
1,37,-68.80,TimedOut,0.9950
1,38,-110.60,TimedOut,0.9950
1,39,-139.50,TimedOut,0.9950
1,40,-80.40,TimedOut,0.9950
1,41,-59.50,TimedOut,0.9950
1,42,-157.20,TimedOut,0.9950
1,43,-59.60,TimedOut,0.9950
1,44,-129.00,TimedOut,0.9950
1,45,-60.20,TimedOut,0.9950
1,46,-71.30,TimedOut,0.9950
1,47,-79.40,TimedOut,0.9950
1,48,-118.50,TimedOut,0.9950
1,49,-177.50,TimedOut,0.9950
2,0,-187.30,TimedOut,0.9900
2,1,-206.70,TimedOut,0.9900
2,2,-59.80,TimedOut,0.9900
2,3,-129.60,TimedOut,0.9900
2,4,-89.60,TimedOut,0.9900
2,5,-196.90,TimedOut,0.9900
2,6,-178.00,TimedOut,0.9900
2,7,-305.70,TimedOut,0.9900
2,8,-89.80,TimedOut,0.9900
2,9,-60.00,TimedOut,0.9900
2,10,-138.00,TimedOut,0.9900
2,11,-138.10,TimedOut,0.9900
2,12,-79.60,TimedOut,0.9900
2,13,-99.00,TimedOut,0.9900
2,14,-60.60,TimedOut,0.9900
2,15,-207.20,TimedOut,0.9900
2,16,-197.20,TimedOut,0.9900
2,17,-98.40,TimedOut,0.9900
2,18,-89.40,TimedOut,0.9900
2,19,-217.80,TimedOut,0.9900
2,20,-157.80,TimedOut,0.9900
